,n,W,best_value,weight
0,50,10300,18971,10295
1,50,117875,173583,117694
2,100,22447,40283,22440
3,100,226048,416073,225686
4,200,50379,81833,50376
5,200,528543,833712,527912
6,500,122931,198601,122924
7,500,1173613,2056245,1173613
8,1000,253445,392980,253440
9,1000,2499330,4107569,2499325
10,2000,488377,805579,488375
11,2000,4938250,8143634,4938250
12,5000,1262161,1994106,1262161
13,5000,12318545,20244337,12318533
14,10000,2485983,4031311,2485983
15,10000,24740343,40591723,24740336
16,50,12109,12934,12103
17,50,122091,135130,122090
18,100,25391,27624,25389
19,100,237437,262924,237419
20,200,48216,53635,48214
21,200,528346,581924,528333
22,500,126185,138210,126185
23,500,1225724,1362677,1225723
24,1000,252894,278624,252894
25,1000,2466976,2733532,2466966
26,2000,479825,530940,479825
27,2000,4997596,5513779,4997596
28,5000,1232843,1367840,1232843
29,5000,12491742,13792347,12491742
30,10000,2490338,2754628,2490338
31,10000,24620468,27232893,24620468
32,50,12026,15626,12026
33,50,127092,162092,127092
34,100,25372,32272,25372
35,100,262638,331638,262638
36,200,48728,62728,48728
37,200,511700,652700,511700
38,500,125854,160539,125739
39,500,1256892,1608436,1255436
40,1000,244152,314084,243784
41,1000,2475931,3177376,2474376
42,2000,491949,632566,491766
43,2000,4947362,6349666,4942666
44,5000,1231316,1583546,1230946
45,5000,12431543,15937595,12427595
46,10000,2474708,3178903,2474203
47,10000,24778788,31801788,24778788
48,50,14542,12970,14470
49,50,137183,121734,136734
50,100,31238,27938,31238
51,100,289328,259328,289328
52,200,61030,54630,61030
53,200,580756,518756,580756
54,500,149258,133558,149258
55,500,1478409,1321409,1478409
56,1000,299702,268170,299670
57,1000,2989588,2671635,2988635
58,2000,608825,544160,608660
59,2000,5984020,5344456,5981456
60,5000,1488958,1331558,1488958
61,5000,14989246,13403421,14988421
62,10000,2997536,2679539,2997139
63,10000,29784393,26626435,29783435
64,50,13391,16800,13391
65,50,116210,151166,116207
66,100,22807,30022,22807
67,100,247996,316974,247994
68,200,47141,61176,47140
69,200,522874,661133,522873
70,500,125430,160529,125430
71,500,1257367,1611694,1257367
72,1000,245972,316415,245972
73,1000,2409652,3118186,2409651
74,2000,504356,644012,504154
75,2000,4948307,6350112,4944922
76,5000,1232334,1584569,1232334
77,5000,12436906,15950920,12436906
78,10000,2478245,3182381,2477956
79,10000,24678272,31723058,24675889
80,50,13275,13275,13275
81,50,142283,142283,142283
82,100,27381,27381,27381
83,100,227450,227450,227450
84,200,49263,49263,49263
85,200,498185,498185,498185
86,500,124045,124045,124045
87,500,1168924,1168924,1168924
88,1000,259128,259128,259128
89,1000,2494539,2494539,2494539
90,2000,486908,486908,486908
91,2000,5022794,5022794,5022794
92,5000,1237696,1237696,1237696
93,5000,12354450,12354450,12354450
